value;time
36,47;2024-04-24 01:59:01 PM
36,51;2024-04-24 01:58:01 PM
36,44;2024-04-24 01:57:01 PM
36,48;2024-04-24 01:56:01 PM
36,48;2024-04-24 01:55:01 PM
36,39;2024-04-24 01:54:01 PM
36,41;2024-04-24 01:53:01 PM
36,35;2024-04-24 01:52:01 PM
36,29;2024-04-24 01:51:01 PM
36,31;2024-04-24 01:50:01 PM
36,32;2024-04-24 01:49:01 PM
36,28;2024-04-24 01:48:01 PM
36,24;2024-04-24 01:47:01 PM
36,21;2024-04-24 01:46:01 PM
36,24;2024-04-24 01:45:01 PM
36,18;2024-04-24 01:44:01 PM
36,14;2024-04-24 01:43:01 PM
36,18;2024-04-24 01:42:01 PM
36,14;2024-04-24 01:41:00 PM
36,08;2024-04-24 01:40:00 PM
36,08;2024-04-24 01:39:01 PM
36,07;2024-04-24 01:38:00 PM
36,04;2024-04-24 01:37:00 PM
35,96;2024-04-24 01:36:00 PM
35,97;2024-04-24 01:35:00 PM
35,89;2024-04-24 01:34:00 PM
35,94;2024-04-24 01:33:00 PM
35,87;2024-04-24 01:32:00 PM
35,87;2024-04-24 01:31:00 PM
35,86;2024-04-24 01:30:00 PM
35,77;2024-04-24 01:29:00 PM
35,82;2024-04-24 01:28:00 PM
35,73;2024-04-24 01:27:00 PM
35,65;2024-04-24 01:26:00 PM
35,65;2024-04-24 01:25:00 PM
35,62;2024-04-24 01:24:00 PM
35,65;2024-04-24 01:22:59 PM
35,59;2024-04-24 01:21:59 PM
35,60;2024-04-24 01:20:59 PM
35,57;2024-04-24 01:19:59 PM
35,58;2024-04-24 01:18:59 PM
35,56;2024-04-24 01:17:59 PM
35,56;2024-04-24 01:16:59 PM
35,48;2024-04-24 01:15:59 PM
35,73;2024-04-24 01:14:59 PM
35,56;2024-04-24 01:13:59 PM
35,48;2024-04-24 01:12:59 PM
35,73;2024-04-24 01:11:59 PM
35,69;2024-04-24 01:10:59 PM
35,74;2024-04-24 01:09:58 PM
35,84;2024-04-24 01:08:59 PM
35,83;2024-04-24 01:07:58 PM
35,89;2024-04-24 01:06:58 PM
35,69;2024-04-24 01:05:58 PM
35,78;2024-04-24 01:04:58 PM
35,83;2024-04-24 01:03:58 PM
36,05;2024-04-24 01:02:58 PM
35,93;2024-04-24 01:01:58 PM
35,90;2024-04-24 01:00:58 PM
35,66;2024-04-24 12:59:58 PM
35,61;2024-04-24 12:58:58 PM
35,62;2024-04-24 12:57:58 PM
35,81;2024-04-24 12:56:58 PM
35,68;2024-04-24 12:55:58 PM
35,82;2024-04-24 12:54:58 PM
35,85;2024-04-24 12:53:58 PM
35,83;2024-04-24 12:52:57 PM
35,82;2024-04-24 12:51:57 PM
35,83;2024-04-24 12:50:57 PM
35,92;2024-04-24 12:49:58 PM
35,85;2024-04-24 12:48:57 PM
35,92;2024-04-24 12:47:57 PM
35,91;2024-04-24 12:46:57 PM
35,93;2024-04-24 12:45:57 PM
36,04;2024-04-24 12:44:57 PM
36,14;2024-04-24 12:43:57 PM
36,15;2024-04-24 12:42:57 PM
36,18;2024-04-24 12:41:57 PM
36,21;2024-04-24 12:40:57 PM
36,28;2024-04-24 12:39:57 PM
36,34;2024-04-24 12:38:57 PM
36,31;2024-04-24 12:37:57 PM
36,40;2024-04-24 12:36:56 PM
36,43;2024-04-24 12:35:56 PM
36,48;2024-04-24 12:34:56 PM
36,50;2024-04-24 12:33:57 PM
36,51;2024-04-24 12:32:57 PM
36,51;2024-04-24 12:31:56 PM
36,54;2024-04-24 12:30:56 PM
36,56;2024-04-24 12:29:56 PM
36,64;2024-04-24 12:28:56 PM
36,64;2024-04-24 12:27:56 PM
36,73;2024-04-24 12:26:57 PM
36,72;2024-04-24 12:25:56 PM
36,65;2024-04-24 12:24:57 PM
36,65;2024-04-24 12:23:57 PM
36,83;2024-04-24 12:22:57 PM
36,79;2024-04-24 12:21:57 PM
36,70;2024-04-24 12:20:56 PM
36,73;2024-04-24 12:19:57 PM
36,76;2024-04-24 12:18:56 PM
36,75;2024-04-24 12:17:56 PM
36,78;2024-04-24 12:16:56 PM
36,71;2024-04-24 12:15:57 PM
36,78;2024-04-24 12:14:57 PM
36,82;2024-04-24 12:13:57 PM
36,79;2024-04-24 12:12:57 PM
36,76;2024-04-24 12:11:57 PM
36,74;2024-04-24 12:10:57 PM
36,81;2024-04-24 12:09:57 PM
36,84;2024-04-24 12:08:57 PM
36,81;2024-04-24 12:07:57 PM
37,01;2024-04-24 12:06:56 PM
37,02;2024-04-24 12:05:57 PM
37,00;2024-04-24 12:04:57 PM
37,06;2024-04-24 12:03:57 PM
37,11;2024-04-24 12:02:57 PM
37,41;2024-04-24 12:01:57 PM
37,34;2024-04-24 12:00:57 PM
37,47;2024-04-24 11:59:56 AM
37,52;2024-04-24 11:58:56 AM
37,62;2024-04-24 11:57:57 AM
37,95;2024-04-24 11:56:56 AM
38,06;2024-04-24 11:55:56 AM
37,92;2024-04-24 11:54:56 AM
37,81;2024-04-24 11:53:56 AM
37,77;2024-04-24 11:52:56 AM
37,58;2024-04-24 11:51:56 AM
37,49;2024-04-24 11:50:56 AM
37,74;2024-04-24 11:49:56 AM
37,64;2024-04-24 11:48:56 AM
37,40;2024-04-24 11:47:56 AM
37,72;2024-04-24 11:46:56 AM
37,47;2024-04-24 11:45:56 AM
37,50;2024-04-24 11:44:56 AM
37,85;2024-04-24 11:43:56 AM
37,77;2024-04-24 11:42:56 AM
37,69;2024-04-24 11:41:56 AM
37,55;2024-04-24 11:40:55 AM
37,47;2024-04-24 11:39:55 AM
37,66;2024-04-24 11:38:55 AM
37,60;2024-04-24 11:37:55 AM
37,57;2024-04-24 11:36:55 AM
37,68;2024-04-24 11:35:55 AM
37,82;2024-04-24 11:34:55 AM
38,19;2024-04-24 11:33:55 AM
38,11;2024-04-24 11:32:55 AM
38,14;2024-04-24 11:31:55 AM
38,06;2024-04-24 11:30:55 AM
38,02;2024-04-24 11:29:55 AM
37,88;2024-04-24 11:28:55 AM
