value;time
22,07;2024-05-28 02:29:32 PM
22,09;2024-05-28 02:28:32 PM
22,06;2024-05-28 02:27:32 PM
21,99;2024-05-28 02:26:31 PM
21,98;2024-05-28 02:25:31 PM
21,94;2024-05-28 02:24:31 PM
21,79;2024-05-28 02:23:31 PM
21,75;2024-05-28 02:22:32 PM
21,73;2024-05-28 02:21:31 PM
21,65;2024-05-28 02:20:31 PM
21,62;2024-05-28 02:19:31 PM
21,54;2024-05-28 02:18:31 PM
21,42;2024-05-28 02:17:31 PM
21,42;2024-05-28 02:16:31 PM
21,31;2024-05-28 02:15:31 PM
21,18;2024-05-28 02:14:31 PM
21,04;2024-05-28 02:13:31 PM
20,98;2024-05-28 02:12:31 PM
20,93;2024-05-28 02:11:31 PM
20,91;2024-05-28 02:10:31 PM
20,91;2024-05-28 02:09:31 PM
20,84;2024-05-28 02:08:31 PM
20,90;2024-05-28 02:07:31 PM
20,93;2024-05-28 02:06:31 PM
20,99;2024-05-28 02:05:31 PM
20,94;2024-05-28 02:04:31 PM
20,93;2024-05-28 02:03:31 PM
20,93;2024-05-28 02:02:31 PM
21,04;2024-05-28 02:01:31 PM
20,99;2024-05-28 02:00:31 PM
21,02;2024-05-28 01:59:31 PM
20,99;2024-05-28 01:58:31 PM
21,03;2024-05-28 01:57:31 PM
21,15;2024-05-28 01:56:31 PM
21,14;2024-05-28 01:55:30 PM
21,32;2024-05-28 01:54:30 PM
21,41;2024-05-28 01:53:31 PM
21,32;2024-05-28 01:52:31 PM
21,50;2024-05-28 01:51:31 PM
21,62;2024-05-28 01:50:31 PM
21,55;2024-05-28 01:49:31 PM
21,66;2024-05-28 01:48:31 PM
21,59;2024-05-28 01:47:31 PM
21,68;2024-05-28 01:46:31 PM
21,82;2024-05-28 01:45:31 PM
21,86;2024-05-28 01:44:31 PM
21,88;2024-05-28 01:43:31 PM
21,98;2024-05-28 01:42:30 PM
21,93;2024-05-28 01:41:30 PM
21,95;2024-05-28 01:40:30 PM
22,03;2024-05-28 01:39:30 PM
22,07;2024-05-28 01:38:30 PM
22,16;2024-05-28 01:37:30 PM
22,23;2024-05-28 01:36:30 PM
22,26;2024-05-28 01:35:30 PM
22,36;2024-05-28 01:34:30 PM
22,31;2024-05-28 01:33:30 PM
22,43;2024-05-28 01:32:30 PM
22,43;2024-05-28 01:31:30 PM
22,42;2024-05-28 01:30:30 PM
22,39;2024-05-28 01:29:30 PM
22,57;2024-05-28 01:28:30 PM
22,56;2024-05-28 01:27:29 PM
22,53;2024-05-28 01:26:29 PM
22,44;2024-05-28 01:25:30 PM
22,50;2024-05-28 01:24:29 PM
22,49;2024-05-28 01:23:29 PM
22,53;2024-05-28 01:22:29 PM
22,55;2024-05-28 01:21:29 PM
22,61;2024-05-28 01:20:29 PM
22,53;2024-05-28 01:19:29 PM
22,56;2024-05-28 01:18:29 PM
22,58;2024-05-28 01:17:29 PM
22,56;2024-05-28 01:16:29 PM
22,55;2024-05-28 01:15:29 PM
22,56;2024-05-28 01:14:29 PM
22,56;2024-05-28 01:13:29 PM
22,56;2024-05-28 01:12:29 PM
22,62;2024-05-28 01:11:29 PM
22,53;2024-05-28 01:10:29 PM
22,60;2024-05-28 01:09:29 PM
22,59;2024-05-28 01:08:29 PM
22,58;2024-05-28 01:07:29 PM
22,58;2024-05-28 01:06:29 PM
22,58;2024-05-28 01:05:30 PM
22,61;2024-05-28 01:04:29 PM
22,61;2024-05-28 01:03:29 PM
22,58;2024-05-28 01:02:29 PM
22,58;2024-05-28 01:01:29 PM
22,52;2024-05-28 01:00:30 PM
22,49;2024-05-28 12:59:29 PM
22,50;2024-05-28 12:58:29 PM
22,55;2024-05-28 12:57:29 PM
22,57;2024-05-28 12:56:29 PM
22,57;2024-05-28 12:55:29 PM
22,61;2024-05-28 12:54:29 PM
22,62;2024-05-28 12:53:29 PM
22,60;2024-05-28 12:52:29 PM
22,53;2024-05-28 12:51:30 PM
22,59;2024-05-28 12:50:29 PM
22,57;2024-05-28 12:49:29 PM
22,60;2024-05-28 12:48:29 PM
22,54;2024-05-28 12:47:29 PM
22,58;2024-05-28 12:46:29 PM
22,50;2024-05-28 12:45:29 PM
22,39;2024-05-28 12:44:29 PM
22,31;2024-05-28 12:43:29 PM
22,41;2024-05-28 12:42:29 PM
22,37;2024-05-28 12:41:29 PM
22,35;2024-05-28 12:40:29 PM
22,35;2024-05-28 12:39:29 PM
22,27;2024-05-28 12:38:29 PM
22,26;2024-05-28 12:37:29 PM
22,28;2024-05-28 12:36:29 PM
22,36;2024-05-28 12:35:29 PM
22,35;2024-05-28 12:34:29 PM
22,34;2024-05-28 12:33:29 PM
22,26;2024-05-28 12:32:29 PM
22,33;2024-05-28 12:30:29 PM
22,41;2024-05-28 12:29:29 PM
22,37;2024-05-28 12:28:29 PM
22,39;2024-05-28 12:27:29 PM
22,40;2024-05-28 12:26:29 PM
22,31;2024-05-28 12:25:29 PM
22,41;2024-05-28 12:24:29 PM
22,33;2024-05-28 12:23:29 PM
22,27;2024-05-28 12:22:29 PM
22,34;2024-05-28 12:21:29 PM
22,25;2024-05-28 12:20:29 PM
22,17;2024-05-28 12:19:29 PM
22,31;2024-05-28 12:18:29 PM
22,25;2024-05-28 12:17:29 PM
22,34;2024-05-28 12:16:29 PM
22,30;2024-05-28 12:15:29 PM
22,32;2024-05-28 12:14:29 PM
22,29;2024-05-28 12:13:29 PM
22,24;2024-05-28 12:12:29 PM
22,24;2024-05-28 12:11:29 PM
22,21;2024-05-28 12:10:29 PM
22,21;2024-05-28 12:09:29 PM
22,10;2024-05-28 12:08:29 PM
22,21;2024-05-28 12:07:29 PM
22,30;2024-05-28 12:06:29 PM
22,23;2024-05-28 12:05:29 PM
22,24;2024-05-28 12:04:29 PM
22,26;2024-05-28 12:03:29 PM
22,12;2024-05-28 12:02:29 PM
22,16;2024-05-28 12:01:29 PM
22,09;2024-05-28 12:00:29 PM
22,09;2024-05-28 11:59:29 AM
22,03;2024-05-28 11:58:29 AM
22,04;2024-05-28 11:57:29 AM
22,12;2024-05-28 11:56:29 AM
22,08;2024-05-28 11:55:29 AM
22,17;2024-05-28 11:54:29 AM
22,13;2024-05-28 11:53:29 AM
22,13;2024-05-28 11:52:29 AM
22,07;2024-05-28 11:51:29 AM
22,15;2024-05-28 11:50:29 AM
22,17;2024-05-28 11:49:29 AM
22,11;2024-05-28 11:48:29 AM
22,05;2024-05-28 11:47:29 AM
22,03;2024-05-28 11:46:29 AM
22,04;2024-05-28 11:45:28 AM
22,01;2024-05-28 11:44:28 AM
22,01;2024-05-28 11:43:28 AM
22,01;2024-05-28 11:42:28 AM
21,99;2024-05-28 11:41:29 AM
21,91;2024-05-28 11:40:28 AM
21,84;2024-05-28 11:39:28 AM
21,93;2024-05-28 11:38:28 AM
21,81;2024-05-28 11:37:28 AM
21,84;2024-05-28 11:36:28 AM
21,75;2024-05-28 11:35:28 AM
